public_dataset,seed,method,calibration_target,calibration_q_scaled,validation_picp_before,validation_picp_after,test_picp,test_pinaw,test_winkler
WPF-SCADA,42,Proposed model,0.88,0.039174884557724,0.8110316649642493,0.881511746680286,0.8717058222676201,0.1940990686416626,465.3922424316406
WPF-SCADA,42,MLP-QR,0.88,0.0692862868309021,0.8028600612870276,0.881511746680286,0.861491317671093,0.22136588394641876,621.3499755859375
WPF-SCADA,42,LSTM-QR,0.88,0.0401206910610199,0.8345250255362615,0.881511746680286,0.8612870275791624,0.21680235862731934,575.4854736328125
WPF-SCADA,42,GRU-QR,0.88,0.04834091663360596,0.8232890704800817,0.881511746680286,0.8653728294177733,0.21659743785858154,559.5382690429688
WPF-SCADA,42,CNN-QR,0.88,0.08136263489723206,0.7926455566905005,0.881511746680286,0.8574055158324821,0.24998925626277924,670.5839233398438
WPF-SCADA,42,Transformer-QR,0.88,0.046760767698287964,0.8232890704800817,0.881511746680286,0.8400408580183861,0.2085750699043274,611.61376953125
WPF-SCADA,42,SQR,0.88,0.09751459956169128,0.7742594484167518,0.881511746680286,0.844126659856997,0.21352528035640717,656.361572265625
WPF-SCADA,42,LUBE-NN,0.88,0.43608278036117554,0.0040858018386108275,0.881511746680286,0.8416751787538305,0.31095343828201294,734.1176147460938
WPF-SCADA,42,RQR-MLP,0.88,0.0,0.992849846782431,0.992849846782431,0.9752808988764045,0.401552677154541,737.6886596679688
WPF-SCADA,42,KDE,0.88,0.0684099793434143,0.8008171603677222,0.881511746680286,0.8402451481103167,0.23034557700157166,686.6956787109375
Longyuan-SCADA,42,Proposed model,0.88,0.05375027656555176,0.7998093422306959,0.880838894184938,0.8264021365890881,0.2708008587360382,80.23011016845703
Longyuan-SCADA,42,MLP-QR,0.88,0.2190880924463272,0.7283126787416587,0.880838894184938,0.8363220144982831,0.2749379873275757,87.34432220458984
Longyuan-SCADA,42,LSTM-QR,0.88,0.12702208757400513,0.8102955195424214,0.880838894184938,0.7855780236550934,0.22661879658699036,86.70616912841797
