calibration_target,public_dataset,seed,baseline,block_length,n_test,mean_winkler_baseline_minus_ours,ci95_low,ci95_high,p_two_sided_block_bootstrap,ours_significantly_lower_95
0.88,WPF-SCADA,42,MLP-QR,12,4895,155.95771911434062,122.9835395802078,188.61436074339696,0.0,True
0.88,WPF-SCADA,42,MLP-QR,24,4895,155.95771911434062,122.0884068748778,192.78906515135094,0.0,True
0.88,WPF-SCADA,42,MLP-QR,48,4895,155.95771911434062,123.68428811514585,194.10529973638916,0.0,True
0.88,WPF-SCADA,42,LSTM-QR,12,4895,110.09331441222709,86.99358146067416,136.6095515750499,0.0,True
0.88,WPF-SCADA,42,LSTM-QR,24,4895,110.09331441222709,85.93630422184977,137.77180751110848,0.0,True
0.88,WPF-SCADA,42,LSTM-QR,48,4895,110.09331441222709,85.74275904794757,138.42648878228064,0.0,True
0.88,WPF-SCADA,42,GRU-QR,12,4895,94.14605038324342,74.4369906971574,115.70398882358383,0.0,True
0.88,WPF-SCADA,42,GRU-QR,24,4895,94.14605038324342,74.08360513252671,117.81289056125284,0.0,True
0.88,WPF-SCADA,42,GRU-QR,48,4895,94.14605038324342,73.80578881128329,116.43753154064953,0.0,True
0.88,WPF-SCADA,42,CNN-QR,12,4895,205.1916677410683,175.91656359383228,238.02021989645095,0.0,True
0.88,WPF-SCADA,42,CNN-QR,24,4895,205.1916677410683,174.40973712363942,241.07858991800214,0.0,True
0.88,WPF-SCADA,42,CNN-QR,48,4895,205.1916677410683,172.08859619935515,239.80702360657799,0.0,True
0.88,WPF-SCADA,42,Transformer-QR,12,4895,146.22154373932665,115.12862292374483,181.51852121853852,0.0,True
0.88,WPF-SCADA,42,Transformer-QR,24,4895,146.22154373932665,114.03700590529164,180.69295035372951,0.0,True
0.88,WPF-SCADA,42,Transformer-QR,48,4895,146.22154373932665,113.54528572199415,185.0253009257643,0.0,True
0.88,WPF-SCADA,42,SQR,12,4895,190.9693509126221,152.77123920382226,238.6532400947547,0.0,True
0.88,WPF-SCADA,42,SQR,24,4895,190.9693509126221,145.9930209161994,240.87978245081524,0.0,True
0.88,WPF-SCADA,42,SQR,48,4895,190.9693509126221,144.2102779361152,242.58372237613665,0.0,True
0.88,WPF-SCADA,42,LUBE-NN,12,4895,268.7254152946745,246.17224100785066,294.73166891158417,0.0,True
0.88,WPF-SCADA,42,LUBE-NN,24,4895,268.7254152946745,242.81585529362462,294.49513343366834,0.0,True
0.88,WPF-SCADA,42,LUBE-NN,48,4895,268.7254152946745,243.4417705170395,293.969784307587,0.0,True
0.88,WPF-SCADA,42,RQR-MLP,12,4895,272.2963960080639,250.72949258993305,291.872782099941,0.0,True
0.88,WPF-SCADA,42,RQR-MLP,24,4895,272.2963960080639,246.88435277594002,298.1117350818919,0.0,True
0.88,WPF-SCADA,42,RQR-MLP,48,4895,272.2963960080639,241.1974192785121,300.7503379001949,0.0,True
