calibration_target,block_length,baseline,comparisons,significant_95,median_diff,mean_diff
0.88,12,CNN-QR,9,9,108.69797214632972,113.41098672855932
0.88,12,GRU-QR,9,7,10.596090302945822,35.66616031495437
0.88,12,KDE,9,9,116.75890921465395,122.00988764469827
0.88,12,LSTM-QR,9,7,9.676541943351808,40.519068133239074
0.88,12,LUBE-NN,9,9,134.12701601585752,154.38254731117345
0.88,12,MLP-QR,9,9,46.55297545521926,68.56375411006806
0.88,12,RQR-MLP,9,9,140.05353574368456,145.23655640407628
0.88,12,SQR,9,9,57.07752894154123,84.44095579209602
0.88,12,Transformer-QR,9,8,46.64365339519395,71.9008228762827
0.88,24,CNN-QR,9,9,108.69797214632972,113.41098672855932
0.88,24,GRU-QR,9,7,10.596090302945822,35.66616031495437
0.88,24,KDE,9,9,116.75890921465395,122.00988764469827
0.88,24,LSTM-QR,9,7,9.676541943351808,40.519068133239074
0.88,24,LUBE-NN,9,9,134.12701601585752,154.38254731117345
0.88,24,MLP-QR,9,9,46.55297545521926,68.56375411006806
0.88,24,RQR-MLP,9,9,140.05353574368456,145.23655640407628
0.88,24,SQR,9,9,57.07752894154123,84.44095579209602
0.88,24,Transformer-QR,9,8,46.64365339519395,71.9008228762827
0.88,48,CNN-QR,9,9,108.69797214632972,113.41098672855932
0.88,48,GRU-QR,9,7,10.596090302945822,35.66616031495437
0.88,48,KDE,9,9,116.75890921465395,122.00988764469827
0.88,48,LSTM-QR,9,7,9.676541943351808,40.519068133239074
0.88,48,LUBE-NN,9,9,134.12701601585752,154.38254731117345
0.88,48,MLP-QR,9,8,46.55297545521926,68.56375411006806
0.88,48,RQR-MLP,9,9,140.05353574368456,145.23655640407628
0.88,48,SQR,9,9,57.07752894154123,84.44095579209602
0.88,48,Transformer-QR,9,8,46.64365339519395,71.9008228762827
