calibration_target,method,n,PICP_mean,PICP_std,PINAW_mean,PINAW_std,Winkler_mean,Winkler_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
0.88,Proposed model,9,0.8724817387638448,0.030897157316434127,0.21977893199291543,0.037054016507765554,301.40389204875424,172.5502317324702,101.87592839448251,63.513442847536325,65.89573061388313,40.35095859263135,0.85482419982096,0.07951526030056154
0.88,MLP-QR,9,0.8501552082201084,0.03294359235584763,0.23123397727658723,0.03172812491770899,369.96764647548014,229.61956018740648,106.06292712911757,67.00146354726823,67.15269941833473,41.82151333933672,0.8455265659856425,0.08246501856240952
0.88,LSTM-QR,9,0.8431824376939799,0.04015935446219095,0.21144065684852725,0.031591544753430775,341.92296058053694,212.06709195111299,102.93357292973967,66.12805595032499,64.30415497476768,41.13272734785517,0.8534812402325367,0.07961185367352394
0.88,GRU-QR,9,0.8436810663085036,0.03755854345793686,0.21116015153557866,0.034353760284121626,337.0700526120338,206.38462804638252,102.10075233510037,65.21105681410715,63.958513431787,40.92979935417064,0.8544341297284539,0.08041858250987974
0.88,CNN-QR,9,0.8661412484334539,0.04572145506284233,0.2711883195764877,0.018073348756158465,414.81487916198915,252.4914038534894,106.48899271789236,69.57913527018977,67.95330248075983,44.04149078614129,0.8484657508185971,0.07714424725802323
0.88,Transformer-QR,9,0.8262135583651009,0.049323276247858,0.2187148287947934,0.04313062322422722,373.30471554483603,230.94795129085273,106.82611459715231,68.71125572902953,67.63391253209488,42.62716066874908,0.8444016026761898,0.0813393474186813
0.88,SQR,9,0.8414091076125579,0.058364422016429364,0.22519178843265486,0.015585836777353484,385.84484816206214,234.47924958327005,107.00273589774339,66.5642665979487,67.94309888322141,41.301660855206485,0.8340472099948658,0.09754910782148649
0.88,LUBE-NN,9,0.8685163558365085,0.045844911556602565,0.29795282467765444,0.023668389798334293,455.7864397739999,296.50542454653026,120.89483471397772,86.37168550643538,89.45893897008169,71.30076355274538,0.8221631972102094,0.08068248270187736
0.88,RQR-MLP,9,0.9539773693155073,0.028723329373297694,0.3709039148866465,0.04270617100919246,446.640447986973,285.17022749301594,103.66533380982831,65.38978621982204,65.23170550080604,40.93492948801574,0.8461623845130952,0.08941190124427581
0.88,KDE,9,0.8565430063567417,0.04169214553230354,0.26415414582029983,0.031143588629747247,423.41377995704727,260.40639522418303,105.87756787916412,68.9919977342286,66.32817648145216,42.81046256964794,0.8503297940867696,0.07587851832287687
