calibration_target,public_dataset,seed,baseline,block_length,n_test,mean_winkler_baseline_minus_ours,ci95_low,ci95_high,p_two_sided_block_bootstrap,ours_significantly_lower_95
0.88,Longyuan-SCADA,42,CNN-QR,12,5242,14.481446756727337,12.07095884046572,16.92150213882814,0.0,True
0.88,Longyuan-SCADA,42,CNN-QR,24,5242,14.481446756727337,11.847067299613723,17.1801676443197,0.0,True
0.88,Longyuan-SCADA,42,CNN-QR,48,5242,14.481446756727337,11.397938673436826,17.52076813983851,0.0,True
0.88,Longyuan-SCADA,42,GRU-QR,12,5242,8.960086034243952,6.258397811919817,11.69645951213206,0.0,True
0.88,Longyuan-SCADA,42,GRU-QR,24,5242,8.960086034243952,5.8782599429384925,12.091890182866544,0.0,True
0.88,Longyuan-SCADA,42,GRU-QR,48,5242,8.960086034243952,5.715863163772072,12.678815398984575,0.0,True
0.88,Longyuan-SCADA,42,KDE,12,5242,14.733837886339526,12.129901042123556,17.365562849034433,0.0,True
0.88,Longyuan-SCADA,42,KDE,24,5242,14.733837886339526,11.564809828443208,18.120352909067524,0.0,True
0.88,Longyuan-SCADA,42,KDE,48,5242,14.733837886339526,11.36694517967902,18.20338625952245,0.0,True
0.88,Longyuan-SCADA,42,LSTM-QR,12,5242,6.476044955227321,4.042153001350236,9.013895728034184,0.0,True
0.88,Longyuan-SCADA,42,LSTM-QR,24,5242,6.476044955227321,3.5919524517380412,9.449310593612465,0.0,True
0.88,Longyuan-SCADA,42,LSTM-QR,48,5242,6.476044955227321,3.3772321452840783,9.739647850102987,0.0,True
0.88,Longyuan-SCADA,42,LUBE-NN,12,5242,14.39895102496322,11.900397129791498,16.992694249938708,0.0,True
0.88,Longyuan-SCADA,42,LUBE-NN,24,5242,14.39895102496322,11.440090949154612,17.53459172810746,0.0,True
0.88,Longyuan-SCADA,42,LUBE-NN,48,5242,14.39895102496322,11.179864571408702,17.60377297022935,0.0,True
0.88,Longyuan-SCADA,42,MLP-QR,12,5242,7.1142000549258295,5.157518726743757,9.028568531403627,0.0,True
0.88,Longyuan-SCADA,42,MLP-QR,24,5242,7.1142000549258295,4.970717318057812,9.458057613835003,0.0,True
0.88,Longyuan-SCADA,42,MLP-QR,48,5242,7.1142000549258295,4.683278845660515,9.77718110987349,0.0,True
0.88,Longyuan-SCADA,42,RQR-MLP,12,5242,13.154394154980961,9.373415836859197,16.487629151247763,0.0,True
0.88,Longyuan-SCADA,42,RQR-MLP,24,5242,13.154394154980961,8.567271730689708,17.386424883614144,0.0,True
0.88,Longyuan-SCADA,42,RQR-MLP,48,5242,13.154394154980961,7.223585809244051,18.2608176656292,0.0,True
0.88,Longyuan-SCADA,42,SQR,12,5242,14.503398821893605,10.051915953561613,19.013630511393288,0.0,True
0.88,Longyuan-SCADA,42,SQR,24,5242,14.503398821893605,9.417381940436101,20.23863307695224,0.0,True
0.88,Longyuan-SCADA,42,SQR,48,5242,14.503398821893605,8.746210118983983,20.62617584692667,0.0,True
0.88,Longyuan-SCADA,42,Transformer-QR,12,5242,5.624574709896908,2.9920980353402484,8.146157500633318,0.0,True
0.88,Longyuan-SCADA,42,Transformer-QR,24,5242,5.624574709896908,2.4475965575443013,8.556326008882598,0.0,True
0.88,Longyuan-SCADA,42,Transformer-QR,48,5242,5.624574709896908,1.939322142995438,9.007937305832014,0.008,True
0.88,Longyuan-SCADA,43,CNN-QR,12,5242,19.661157557681825,15.668299766559162,24.008552009742747,0.0,True
0.88,Longyuan-SCADA,43,CNN-QR,24,5242,19.661157557681825,15.088542707716783,24.60189383669514,0.0,True
0.88,Longyuan-SCADA,43,CNN-QR,48,5242,19.661157557681825,14.200659975567639,25.332313396209603,0.0,True
0.88,Longyuan-SCADA,43,GRU-QR,12,5242,10.59609067418575,6.950690093310772,14.188546264784103,0.0,True
0.88,Longyuan-SCADA,43,GRU-QR,24,5242,10.59609067418575,6.429659740645201,14.749912895431603,0.0,True
0.88,Longyuan-SCADA,43,GRU-QR,48,5242,10.59609067418575,6.150122852642967,14.804231616094924,0.0,True
0.88,Longyuan-SCADA,43,KDE,12,5242,20.093538407991666,15.983507444213144,24.574055799322363,0.0,True
0.88,Longyuan-SCADA,43,KDE,24,5242,20.093538407991666,15.150907892312619,25.364939075313686,0.0,True
0.88,Longyuan-SCADA,43,KDE,48,5242,20.093538407991666,14.646707090890386,26.254451343657422,0.0,True
0.88,Longyuan-SCADA,43,LSTM-QR,12,5242,9.67654246794565,6.1373268321789345,13.299900527289696,0.0,True
0.88,Longyuan-SCADA,43,LSTM-QR,24,5242,9.67654246794565,5.906248389006543,13.967856759387393,0.0,True
